epoch,phase,cycle_slip
53583,30061211.306632284,0
53584,30059998.561882477,0
53585,30058785.66476909,0
53586,30057572.617824435,0
53587,30056359.418182738,0
53588,30055146.066556692,0
53589,30053932.56710869,0
53590,30052718.91562032,0
53591,30051505.11014523,0
53592,30050291.15953361,0
53593,30049077.059217278,0
53594,30047862.803109244,0
53595,30046648.399166804,0
53596,30045433.842759438,0
53597,30044219.139130685,0
53598,30043004.286474124,0
53599,30041789.281105865,0
53600,30040574.126208674,0
53601,30039358.82462527,0
53602,30038143.36899763,0
53603,30036927.765226517,0
53604,30035712.013951592,0
53605,30034496.111132063,0
53606,30033280.059916053,0
53607,30032063.86030309,0
53608,30030847.510296375,0
53609,30029631.010889795,0
53610,30028414.36587027,0
53611,30027197.57016808,0
53612,30025980.624374654,0
53613,30024763.531998385,0
53614,30023546.289289318,0
53615,30022328.897652537,0
53616,30021111.36208463,0
53617,30019893.674533434,0
53618,30018675.84014387,0
53619,30017457.85725985,0
53620,30016239.726668168,0
53621,30015021.448682826,0
53622,30013803.022697702,0
53623,30012584.45019756,0
53624,30011365.72826877,0
53625,30010146.86049999,0
53626,30008927.845016792,0
53627,30007708.67887528,0
53628,30006489.371628076,0
53629,30005269.913854253,0
53630,30004050.30962153,0
53631,30002830.55923408,0
53632,30001610.660367675,0
53633,30000390.61699679,0
53634,29999170.424569152,0
53635,29997950.087015763,0
53636,29996729.605425708,0
53637,29995508.9750533,0
53638,29994288.19920831,0
53639,29993067.276458934,0
53640,29991846.209747214,0
53641,29990624.995180413,0
53642,29989403.63605934,0
53643,29988182.130464002,0
53644,29986960.47943625,0
53645,29985738.683858868,0
53646,29984516.743716214,0
53647,29983294.655256767,0
53648,29982072.423633724,0
53649,29980850.046454582,0
53650,29979627.52406777,0
53651,29978404.85904236,0
53652,29977182.044779923,0
53653,29975959.089702085,0
53654,29974735.988004375,0
53655,29973512.74398727,0
53656,29972289.353735015,0
53657,29971065.82067053,0
53658,29969842.14191321,0
53659,29968618.31885104,0
53660,29967394.353102166,0
53661,29966170.242876686,0
53662,29964945.987003475,0
53663,29963721.590853214,0
53664,29962497.048927665,0
53665,29961272.364153586,0
53666,29960047.534870844,0
53667,29958822.56271607,0
53668,29957597.447603066,0
53669,29956372.18716791,0
53670,29955146.788774937,0
53671,29953921.247897983,0
53672,29952695.559419066,0
53673,29951469.72931371,0
53674,29950243.75771269,0
53675,29949017.641702972,0
53676,29947791.384334564,0
53677,29946564.984848965,0
53678,29945338.44256232,0
53679,29944111.758647315,0
53680,29942884.933228623,0
53681,29941657.965290137,0
53682,29940430.85666811,0
53683,29939203.604714926,0
53684,29937976.20888238,0
53685,29936748.675177578,0
53686,29935520.99799404,0
53687,29934293.178739697,0
53688,29933065.222401444,0
53689,29931837.12267261,0
53690,29930608.880859997,0
53691,29929380.49892811,0
53692,29928151.974965397,0
53693,29926923.310284823,0
53694,29925694.506258667,0
53695,29924465.562705334,0
53696,29923236.475916963,0
53697,29922007.24781943,0
53698,29920777.882957265,0
53699,29919548.37737426,0
53700,29918318.73001854,0
53701,29917088.943681285,0
53702,29915859.014120888,0
53703,29914628.94912494,0
53704,29913398.74231253,0
53705,29912168.39728644,0
53706,29910937.910339188,0
53707,29909707.28538185,0
53708,29908476.52196584,0
53709,29907245.617525134,0
53710,29906014.576038934,0
53711,29904783.3920247,0
53712,29903552.074572768,0
53713,29902320.611090958,0
53714,29901089.016503066,0
53715,29899857.278079793,0
53716,29898625.401710827,0
53717,29897393.389364377,0
53718,29896161.237745505,0
53719,29894928.947412495,0
53720,29893696.518599596,0
53721,29892463.949757967,0
53722,29891231.245983735,0
53723,29889998.40128033,0
53724,29888765.42263124,0
53725,29887532.304694824,0
53726,29886299.048194617,0
53727,29885065.653452493,0
53728,29883832.124015216,0
53729,29882598.45853684,0
53730,29881364.65183764,0
53731,29880130.708672788,0
53732,29878896.62969995,0
53733,29877662.4140333,0
53734,29876428.059074063,0
53735,29875193.569382694,0
53736,29873958.943779558,0
53737,29872724.181116503,0
53738,29871489.284107175,0
53739,29870254.24673965,0
53740,29869019.074275352,0
53741,29867783.766836606,0
53742,29866548.320704684,0
53743,29865312.7418336,0
53744,29864077.026153143,0
53745,29862841.174297854,0
53746,29861605.189319566,0
53747,29860369.065958846,0
53748,29859132.805845954,0
53749,29857896.41218847,0
53750,29856659.88333289,0
53751,29855423.220377836,0
53752,29854186.42166926,0
53753,29852949.48781917,0
53754,29851712.417448945,0
53755,29850475.214568794,0
53756,29849237.876295637,0
53757,29848000.404570363,0
53758,29846762.796684198,0
53759,29845525.05262296,0
53760,29844287.17603145,0
53761,29843049.167466976,0
53762,29841811.022506367,0
53763,29840572.74374812,0
53764,29839334.331615083,0
53765,29838095.786807418,0
53766,29836857.104871593,0
53767,29835618.294759024,0
53768,29834379.345213678,0
53769,29833140.266166374,0
53770,29831901.0511466,0
53771,29830661.703355365,0
53772,29829422.2246589,0
53773,29828182.6104523,0
53774,29826942.865822192,0
53775,29825702.986782964,0
53776,29824462.97450796,0
53777,29823222.831106793,0
53778,29821982.55520235,0
53779,29820742.144814156,0
53780,29819501.602605563,0
53781,29818260.929890525,0
53782,29817020.123932082,0
53783,29815779.185146045,0
53784,29814538.116782337,0
53785,29813296.91322175,0
53786,29812055.58135319,0
53787,29810814.113883,0
53788,29809572.518486157,0
53789,29808330.78903656,0
53790,29807088.929765034,0
53791,29805846.936426997,0
53792,29804604.818392176,0
53793,29803362.563221198,0
53794,29802120.179609403,0
53795,29800877.662007887,0
53796,29799635.017551642,0
53797,29798392.240493685,0
53798,29797149.33230407,0
53799,29795906.29682807,0
53800,29794663.12745968,0
53801,29793419.828716394,0
53802,29792176.400635943,0
53803,29790932.840277616,0
53804,29789689.15239215,0
53805,29788445.333494056,0
53806,29787201.384882465,0
53807,29785957.30738849,0
53808,29784713.097914923,0
53809,29783468.760250002,0
53810,29782224.293165512,0
53811,29780979.696780317,0
53812,29779734.97294788,0
53813,29778490.117034554,0
53814,29777245.134334937,0
53815,29776000.020834245,0
53816,29774754.778081305,0
53817,29773509.407078747,0
53818,29772263.908099025,0
53819,29771018.281057555,0
53820,29769772.526894443,0
53821,29768526.642727755,0
53822,29767280.62879502,0
53823,29766034.488723896,0
53824,29764788.218253728,0
53825,29763541.8212063,0
53826,29762295.297740992,0
53827,29761048.644480187,0
53828,29759801.86469567,0
53829,29758554.95606317,0
53830,29757307.92018475,0
53831,29756060.75748794,0
53832,29754813.46784667,0
53833,29753566.05040451,0
53834,29752318.504744,0
53835,29751070.834048577,0
53836,29749823.034224115,0
53837,29748575.110146936,0
53838,29747327.05760053,0
53839,29746078.87687146,0
53840,29744830.57699111,0
53841,29743582.14243723,0
53842,29742333.584358208,0
53843,29741084.902770877,0
53844,29739836.08967978,0
53845,29738587.153056562,0
53846,29737338.09200792,0
53847,29736088.903569836,0
53848,29734839.58951997,0
53849,29733590.14967646,0
53850,29732340.585276484,0
53851,29731090.896506585,0
53852,29729841.07729511,0
53853,29728591.138509553,0
53854,29727341.072790246,0
53855,29726090.879139338,0
53856,29724840.563669078,0
53857,29723590.121812988,0
53858,29722339.55406992,0
53859,29721088.866171334,0
53860,29719838.049556483,0
53861,29718587.109071806,0
53862,29717336.043742184,0
53863,29716084.85715223,0
53864,29714833.543944206,0
53865,29713582.107448786,0
53866,29712330.546436183,0
53867,29711078.860189542,0
53868,29709827.048885442,0
53869,29708575.119775627,0
53870,29707323.06366311,0
53871,29706070.88443018,0
53872,29704818.58277855,0
53873,29703566.154871333,0
53874,29702313.606033966,0
53875,29701060.932998586,0
53876,29699808.135472436,0
53877,29698555.21685532,0
53878,29697302.177736674,0
53879,29696049.011387408,0
53880,29694795.725662857,0
53881,29693542.314736452,0
53882,29692288.784510273,0
53883,29691035.129648235,0
53884,29689781.352470342,0
53885,29688527.454629365,0
53886,29687273.433341164,0
53887,29686019.289498758,0
53888,29684765.025490273,0
53889,29683510.63961927,0
53890,29682256.13184107,0
53891,29681001.500796076,0
53892,29679746.751407683,0
53893,29678491.876174975,0
53894,29677236.881359566,0
53895,29675981.766297743,0
53896,29674726.53138352,0
53897,29673471.174079254,0
53898,29672215.695952494,0
53899,29670960.09610119,0
53900,29669704.379216854,0
53901,29668448.53810024,0
53902,29667192.5745163,0
53903,29665936.494199853,0
53904,29664680.29265898,0
53905,29663423.97136672,0
53906,29662167.527088575,0
53907,29660910.9647874,0
53908,29659654.28322524,0
53909,29658397.484041553,0
53910,29657140.56022343,0
53911,29655883.520371575,0
53912,29654626.359277777,0
53913,29653369.078172952,0
53914,29652111.67947828,0
53915,29650854.158452857,0
53916,29649596.521066535,0
53917,29648338.76210371,0
53918,29647080.88822219,0
53919,29645822.892254636,0
53920,29644564.78137446,0
53921,29643306.5466927,0
53922,29642048.196311526,0
53923,29640789.72650852,0
53924,29639531.13774377,0
53925,29638272.432478115,0
53926,29637013.60697937,0
53927,29635754.66477458,0
53928,29634495.605998803,0
53929,29633236.42526078,0
53930,29631977.128151063,0
53931,29630717.713860758,0
53932,29629458.18275129,0
53933,29628198.53369016,0
53934,29626938.766940318,0
53935,29625678.881273624,0
53936,29624418.879329573,0
53937,29623158.762221612,0
53938,29621898.52780271,0
53939,29620638.175414033,0
53940,29619377.706562113,0
53941,29618117.120473914,0
53942,29616856.416958015,0
53943,29615595.597223535,0
53944,29614334.66308866,0
53945,29613073.610750563,0
53946,29611812.44111819,0
53947,29610551.158349987,0
53948,29609289.75811956,0
53949,29608028.24140957,0
53950,29606766.60915905,0
53951,29605504.859232053,0
53952,29604242.99693286,0
53953,29602981.016428597,0
53954,29601718.923640307,0
53955,29600456.712099005,0
53956,29599194.385940686,0
53957,29597931.94632767,0
53958,29596669.38809563,0
53959,29595406.71813016,0
53960,29594143.93387632,0
53961,29592881.031695575,0
53962,29591618.015552532,0
53963,29590354.885023694,0
53964,29589091.639688008,0
53965,29587828.281296536,0
53966,29586564.807360742,0
53967,29585301.220303193,0
53968,29584037.518634018,0
53969,29582773.7038974,0
53970,29581509.772714734,0
53971,29580245.72888835,0
53972,29578981.572977416,0
53973,29577717.30173226,0
53974,29576452.916174322,0
53975,29575188.418934345,0
53976,29573923.806617197,0
53977,29572659.081938524,0
53978,29571394.2458014,0
53979,29570129.293125503,0
53980,29568864.228889894,0
53981,29567599.052459203,0
53982,29566333.760831386,0
53983,29565068.360290628,0
53984,29563802.845778205,0
53985,29562537.220069416,0
53986,29561271.478341192,0
53987,29560005.626540385,0
53988,29558739.66209201,0
53989,29557473.587543372,0
53990,29556207.397789277,0
53991,29554941.09492665,0
53992,29553674.685373697,0
53993,29552408.159238927,0
53994,29551141.52393856,0
53995,29549874.776166365,0
53996,29548607.9207245,0
53997,29547340.950183336,0
53998,29546073.86907781,0
53999,29544806.67658506,0
54000,29543539.372890398,0
54001,29542271.957575466,0
54002,29541004.432938315,0
54003,29539736.796291202,0
54004,29538469.049366172,0
54005,29537201.192418255,0
54006,29535933.227781966,0
54007,29534665.147038925,0
54008,29533396.960136354,0
54009,29532128.66274455,0
54010,29530860.2528939,0
54011,29529591.732781544,0
54012,29528323.10439642,0
54013,29527054.367018957,0
54014,29525785.52122411,0
54015,29524516.562854785,0
54016,29523247.494925022,0
54017,29521978.317731064,0
54018,29520709.032547787,0
54019,29519439.637373485,0
54020,29518170.13326233,0
54021,29516900.519075025,0
54022,29515630.796999544,0
54023,29514360.967334684,0
54024,29513091.02622369,0
54025,29511820.978497554,0
54026,29510550.822349932,0
54027,29509280.557403557,0
54028,29508010.18459231,0
54029,29506739.70037513,0
54030,29505469.11037411,0
54031,29504198.414867133,0
54032,29502927.609211303,0
54033,29501656.692598492,0
54034,29500385.671135366,0
54035,29499114.543190848,0
54036,29497843.305781916,0
54037,29496571.961397246,0
54038,29495300.508783776,0
54039,29494028.95122038,0
54040,29492757.28400883,0
54041,29491485.510626763,0
54042,29490213.62941836,0
54043,29488941.64409215,0
54044,29487669.54888551,0
54045,29486397.348439112,0
54046,29485125.04229921,0
54047,29483852.626171906,0
54048,29482580.106822085,0
54049,29481307.47871768,0
54050,29480034.74689276,0
54051,29478761.90971513,0
54052,29477488.961862426,0
54053,29476215.91267919,0
54054,29474942.75724595,0
54055,29473669.493645705,0
54056,29472396.124319743,0
54057,29471122.650046896,0
54058,29469849.070028946,0
54059,29468575.3889621,0
54060,29467301.597157806,0
54061,29466027.70078972,0
54062,29464753.70151403,0
54063,29463479.596427478,0
54064,29462205.38710412,0
54065,29460931.075300913,0
54066,29459656.654464904,0
54067,29458382.130068097,0
54068,29457107.502331927,0
54069,29455832.770124175,0
54070,29454557.9316759,0
54071,29453282.991244353,0
54072,29452007.943712104,0
54073,29450732.794030536,0
54074,29449457.540489115,0
54075,29448182.18462556,0
54076,29446906.720792368,0
54077,29445631.160213705,0
54078,29444355.49033459,0
54079,29443079.720162634,0
54080,29441803.843117785,0
54081,29440527.867555603,0
54082,29439251.786619827,0
54083,29437975.60108671,0
54084,29436699.31430895,0
54085,29435422.922699142,0
54086,29434146.430958323,0
54087,29432869.83641198,0
54088,29431593.137099445,0
54089,29430316.33842373,0
54090,29429039.432237536,0
54091,29427762.428540245,0
54092,29426485.319616962,0
54093,29425208.11244099,0
54094,29423930.80051216,0
54095,29422653.38725968,0
54096,29421375.873092227,0
54097,29420098.25528776,0
54098,29418820.539996378,0
54099,29417542.718111545,0
54100,29416264.796037868,0
54101,29414986.772725668,0
54102,29413708.64866626,0
54103,29412430.42507089,0
54104,29411152.098140795,0
54105,29409873.67276452,0
54106,29408595.14396679,0
54107,29407316.515510965,0
54108,29406037.78660696,0
54109,29404758.956700623,0
54110,29403480.02704427,0
54111,29402200.998401534,0
54112,29400921.866184384,0
54113,29399642.63522133,0
54114,29398363.304678563,0
54115,29397083.872911997,0
54116,29395804.341317404,0
54117,29394524.70875037,0
54118,29393244.979531094,0
54119,29391965.152562644,0
54120,29390685.222932797,0
54121,29389405.193778038,0
54122,29388125.068359308,0
54123,29386844.83883892,0
54124,29385564.51028898,0
54125,29384284.088176366,0
54126,29383003.564455748,0
54127,29381722.941073798,0
54128,29380442.219874565,0
54129,29379161.39666545,0
54130,29377880.479727086,0
54131,29376599.461583197,0
54132,29375318.347388096,0
54133,29374037.134604245,0
54134,29372755.820798013,0
54135,29371474.411859445,0
54136,29370192.90242873,0
54137,29368911.297536854,0
54138,29367629.593537327,0
54139,29366347.794693846,0
54140,29365065.893094625,0
54141,29363783.89808077,0
54142,29362501.80581255,0
54143,29361219.611677717,0
54144,29359937.326058276,0
54145,29358654.940663546,0
54146,29357372.45781385,0
54147,29356089.880767055,0
54148,29354807.205532283,0
54149,29353524.43204526,0
54150,29352241.562063172,0
54151,29350958.595383514,0
54152,29349675.535074867,0
54153,29348392.376495734,0
54154,29347109.122097127,0
54155,29345825.771116182,0
54156,29344542.32442961,0
54157,29343258.78251934,0
54158,29341975.142905448,0
54159,29340691.411086272,0
54160,29339407.579562485,0
54161,29338123.655172613,0
54162,29336839.634026024,0
54163,29335555.51894128,0
54164,29334271.30757442,0
54165,29332987.001017082,0
54166,29331702.59781147,0
54167,29330418.10229357,0
54168,29329133.512725323,0
54169,29327848.82464571,0
54170,29326564.045224886,0
54171,29325279.16877304,0
54172,29323994.198596604,0
54173,29322709.134827808,0
54174,29321423.97525161,0
54175,29320138.72423001,0
54176,29318853.375622313,0
54177,29317567.936171826,0
54178,29316282.401930574,0
54179,29314996.772699337,0
54180,29313711.049410157,0
54181,29312425.23425035,0
54182,29311139.323891852,0
54183,29309853.3215481,0
54184,29308567.225037474,0
54185,29307281.035364807,0
54186,29305994.75418188,0
54187,29304708.3789165,0
54188,29303421.910419017,0
54189,29302135.348189004,0
54190,29300848.695241123,0
54191,29299561.94626011,0
54192,29298275.10882309,0
54193,29296988.17658032,0
54194,29295701.151471276,0
54195,29294414.035139013,0
54196,29293126.827256583,0
54197,29291839.52610222,0
54198,29290552.132933643,0
54199,29289264.647561397,0
54200,29287977.07063048,0
54201,29286689.403505784,0
54202,29285401.64249135,0
54203,29284113.79309762,0
54204,29282825.847908195,0
54205,29281537.815989967,0
54206,29280249.69018589,0
54207,29278961.473678242,0
54208,29277673.166467182,0
54209,29276384.765554585,0
54210,29275096.278851036,0
54211,29273807.69854021,0
54212,29272519.028022647,0
54213,29271230.270919092,0
54214,29269941.414876264,0
54215,29268652.47477087,0
54216,29267363.441427086,0
54217,29266074.31899269,0
54218,29264785.106170513,0
54219,29263495.806284096,0
54220,29262206.414120603,0
54221,29260916.930274136,0
54222,29259627.360098436,0
54223,29258337.696851946,0
54224,29257047.946693562,0
54225,29255758.107581794,0
54226,29254468.176406935,0
54227,29253178.157967184,0
54228,29251888.050918166,0
54229,29250597.854102828,0
54230,29249307.567239624,0
54231,29248017.195979703,0
54232,29246726.72960393,0
54233,29245436.179469604,0
54234,29244145.538645633,0
54235,29242854.808337055,0
54236,29241563.99235388,0
54237,29240273.085549556,0
54238,29238982.09280768,0
54239,29237691.011850536,0
54240,29236399.840796683,0
54241,29235108.584229413,0
54242,29233817.23793531,0
54243,29232525.805706512,0
54244,29231234.285078533,0
54245,29229942.676565044,0
54246,29228650.979673162,0
54247,29227359.199567497,0
54248,29226067.330864288,0
54249,29224775.372001503,0
54250,29223483.32723357,0
54251,29222191.197131798,0
54252,29220898.980335,0
54253,29219606.67601769,0
54254,29218314.284578696,0
54255,29217021.806516446,0
54256,29215729.242721982,0
54257,29214436.5918073,0
54258,29213143.854137965,0
54259,29211851.031978793,0
54260,29210558.123251885,0
54261,29209265.129134625,0
54262,29207972.046490926,0
54263,29206678.882420093,0
54264,29205385.627887193,0
54265,29204092.29273529,0
54266,29202798.870446008,0
54267,29201505.361747343,0
54268,29200211.766252927,0
54269,29198918.08888386,0
54270,29197624.32498744,0
54271,29196330.47701857,0
54272,29195036.54181081,0
54273,29193742.52380174,0
54274,29192448.41896293,0
54275,29191154.23056203,0
54276,29189859.959777664,0
54277,29188565.602871787,0
54278,29187271.16011497,0
54279,29185976.634067662,0
54280,29184682.02579967,0
54281,29183387.332080714,0
54282,29182092.554690465,0
54283,29180797.69391692,0
54284,29179502.748884913,0
54285,29178207.719034962,0
54286,29176912.60564458,0
54287,29175617.410064317,0
54288,29174322.130976405,0
54289,29173026.768964592,0
54290,29171731.32290606,0
54291,29170435.794431526,0
54292,29169140.183021158,0
54293,29167844.487686355,0
54294,29166548.711240124,0
54295,29165252.852636658,0
54296,29163956.907930948,0
54297,29162660.882198025,0
54298,29161364.775557347,0
54299,29160068.5845111,0
54300,29158772.31299447,0
54301,29157475.95817459,0
54302,29156179.52146567,0
54303,29154883.00340624,0
54304,29153586.403535623,0
54305,29152289.721324228,0
54306,29150992.96016771,0
54307,29149696.114292208,0
54308,29148399.188319128,0
54309,29147102.1781755,0
54310,29145805.09013201,0
54311,29144507.920568354,0
54312,29143210.67045178,0
54313,29141913.335718386,0
54314,29140615.921974495,0
54315,29139318.429454327,0
54316,29138020.85390154,0
54317,29136723.200996898,0
54318,29135425.464048557,0
54319,29134127.647031527,0
54320,29132829.750535756,0
54321,29131531.773979444,0
54322,29130233.715450503,0
54323,29128935.580463424,0
54324,29127637.36315332,0
54325,29126339.067659985,0
54326,29125040.68978006,0
54327,29123742.235369645,0
54328,29122443.69969397,0
54329,29121145.084324498,0
54330,29119846.39107762,0
54331,29118547.61433908,0
54332,29117248.76390385,0
54333,29115949.831583027,0
54334,29114650.820748597,0
54335,29113351.730158318,0
54336,29112052.56125585,0
54337,29110753.316416558,0
54338,29109453.99056987,0
54339,29108154.587342106,0
54340,29106855.104867693,0
54341,29105555.54041296,0
54342,29104255.902653188,0
54343,29102956.18579101,0
54344,29101656.391215988,0
54345,29100356.51847101,0
54346,29099056.56497726,0
54347,29097756.53669483,0
54348,29096456.43219886,0
54349,29095156.245205168,0
54350,29093855.984405387,0
54351,29092555.647172105,0
54352,29091255.232785225,0
54353,29089954.73588992,0
54354,29088654.167397413,0
54355,29087353.520693287,0
54356,29086052.797535285,0
54357,29084751.995659605,0
54358,29083451.115834802,0
54359,29082150.16226561,0
54360,29080849.134305432,0
54361,29079548.02635768,0
54362,29078246.841473073,0
54363,29076945.583566613,0
54364,29075644.24774253,0
54365,29074342.833286528,0
54366,29073041.346105814,0
54367,29071739.78511424,0
54368,29070438.147706293,0
54369,29069136.431166533,0
54370,29067834.638145037,0
54371,29066532.77322881,0
54372,29065230.834364045,0
54373,29063928.818115678,0
54374,29062626.725670155,0
54375,29061324.558800064,0
54376,29060022.318528727,0
54377,29058720.002417214,0
54378,29057417.610805623,0
54379,29056115.14327413,0
54380,29054812.60465599,0
54381,29053509.988439944,0
54382,29052207.298830338,0
54383,29050904.53512817,0
54384,29049601.697920028,0
54385,29048298.78648777,0
54386,29046995.79789891,0
54387,29045692.739269692,0
54388,29044389.60579445,0
54389,29043086.399815794,0
54390,29041783.116801165,0
54391,29040479.762684904,0
54392,29039176.335728265,0
54393,29037872.833510898,0
54394,29036569.26030216,0
54395,29035265.61075685,0
54396,29033961.89186337,0
54397,29032658.098147042,0
54398,29031354.229772065,0
54399,29030050.29018282,0
54400,29028746.278090097,0
54401,29027442.19352533,0
54402,29026138.035516404,0
54403,29024833.80684678,0
54404,29023529.504160296,0
54405,29022225.130819526,0
54406,29020920.68164094,0
54407,29019616.164952133,0
54408,29018311.575470455,0
54409,29017006.91120468,0
54410,29015702.17893517,0
54411,29014397.373633895,0
54412,29013092.497731175,0
54413,29011787.547194183,0
54414,29010482.527922854,0
54415,29009177.43607647,0
54416,29007872.274249703,0
54417,29006567.042700913,0
54418,29005261.73677101,0
54419,29003956.360932563,0
54420,29002650.915518567,0
54421,29001345.398554783,0
54422,29000039.811412726,0
54423,28998734.153598636,0
54424,28997428.42551904,0
54425,28996122.626406755,0
54426,28994816.7590254,0
54427,28993510.819223322,0
54428,28992204.812567234,0
54429,28990898.732410885,0
54430,28989592.584596634,0
54431,28988286.366327032,0
54432,28986980.076166432,0
54433,28985673.72027595,0
54434,28984367.295348592,0
54435,28983060.79658509,0
54436,28981754.234101303,0
54437,28980447.597676057,0
54438,28979140.89387865,0
54439,28977834.12085396,0
54440,28976527.2800315,0
54441,28975220.36967058,0
54442,28973913.389442105,0
54443,28972606.34132469,0
54444,28971299.224122226,0
54445,28969992.04174546,0
54446,28968684.78806964,0
54447,28967377.466014918,0
54448,28966070.07701042,0
54449,28964762.62022698,0
54450,28963455.094085634,0
54451,28962147.502049558,0
54452,28960839.839571796,0
54453,28959532.112202343,0
54454,28958224.315562584,0
54455,28956916.45345621,0
54456,28955608.521446053,0
54457,28954300.52376436,0
54458,28952992.46130899,0
54459,28951684.327561233,0
54460,28950376.127960008,0
54461,28949067.862430993,0
54462,28947759.528625716,0
54463,28946451.126989387,0
54464,28945142.66075313,0
54465,28943834.126526017,0
54466,28942525.53018921,0
54467,28941216.86335847,0
54468,28939908.132054344,0
54469,28938599.334380668,0
54470,28937290.47013223,0
54471,28935981.540805645,0
54472,28934672.544810615,0
54473,28933363.483213283,0
54474,28932054.35489381,0
54475,28930745.163967863,0
54476,28929435.907719556,0
54477,28928126.582265504,0
54478,28926817.195426546,0
54479,28925507.738574978,0
54480,28924198.219788607,0
54481,28922888.635926653,0
54482,28921578.98678364,0
54483,28920269.274321876,0
54484,28918959.492460888,0
54485,28917649.651077833,0
54486,28916339.74555751,0
54487,28915029.771334585,0
54488,28913719.73636713,0
54489,28912409.635414913,0
54490,28911099.469970126,0
54491,28909789.241545595,0
54492,28908478.948378883,0
54493,28907168.589717183,0
54494,28905858.171921086,0
54495,28904547.68679577,0
54496,28903237.138413686,0
54497,28901926.529078618,0
54498,28900615.854530923,0
54499,28899305.117421545,0
54500,28897994.315215677,0
54501,28896683.452273563,0
54502,28895372.5243698,0
54503,28894061.534718122,0
54504,28892750.482010026,0
54505,28891439.364740852,0
54506,28890128.188312184,0
54507,28888816.94737168,0
54508,28887505.643892948,0
54509,28886194.278833076,0
54510,28884882.853575867,0
54511,28883571.3592619,0
54512,28882259.80914696,0
54513,28880948.19622425,0
54514,28879636.51843154,0
54515,28878324.78253977,0
54516,28877012.983282644,0
54517,28875701.12061796,0
54518,28874389.19935897,0
54519,28873077.21806722,0
54520,28871765.16973241,0
54521,28870453.064716764,0
54522,28869140.89771104,0
54523,28867828.669583388,0
54524,28866516.379946034,0
54525,28865204.030392762,0
54526,28863891.619492352,0
54527,28862579.148816224,0
54528,28861266.61698367,0
54529,28859954.02416142,0
54530,28858641.371185478,0
54531,28857328.656350784,0
54532,28856015.884828735,0
54533,28854703.052553244,0
54534,28853390.15657686,0
54535,28852077.2037355,0
54536,28850764.193620745,0
54537,28849451.11801264,0
54538,28848137.987189498,0
54539,28846824.79501682,0
54540,28845511.54586538,0
54541,28844198.234285206,0
54542,28842884.865100034,0
54543,28841571.435563292,0
54544,28840257.949668378,0
54545,28838944.400155965,0
54546,28837630.79562586,0
54547,28836317.132171787,0
54548,28835003.409375418,0
54549,28833689.62603937,0
54550,28832375.784231324,0
54551,28831061.88744903,0
54552,28829747.93287555,0
54553,28828433.91548398,0
54554,28827119.843564615,0
54555,28825805.711997703,0
54556,28824491.52336358,0
54557,28823177.278073,0
54558,28821862.97262871,0
54559,28820548.612412285,0
54560,28819234.19181981,0
54561,28817919.71401937,0
54562,28816605.179504357,0
54563,28815290.588400777,0
54564,28813975.93816077,0
54565,28812661.232609995,0
